,locustag
0,AT4G24540
1,AT2G13540
2,AT1G18450
3,AT3G33520
4,AT5G48300
5,AT5G13790
6,AT3G57230
7,AT2G22630
8,AT3G57390
9,AT4G22950
10,AT2G45650
11,AT1G79430
12,AT1G69120
13,AT4G36920
14,AT1G51450
15,AT3G01090
16,AT2G27550
17,AT1G04870
18,AT5G42400
19,AT2G37630
20,AT2G45430
21,AT1G66650
22,AT1G54440
23,AT5G35910
24,AT5G60410
25,AT4G38960
26,AT5G14170
27,AT3G23060
28,AT2G46020
29,AT3G18550
30,AT5G62040
31,AT4G23100
32,AT1G50700
33,AT2G17290
34,AT5G44200
35,AT3G60250
36,AT2G44680
37,AT2G46830
38,AT1G71800
39,AT1G17760
40,AT4G38680
41,AT5G15840
42,AT5G57660
43,AT3G07650
44,AT2G32950
45,AT4G08920
46,AT1G04400
47,AT4G34530
48,AT5G48560
49,AT1G10120
50,AT1G26260
51,AT1G26830
52,AT5G46210
53,AT2G23380
54,AT5G64960
55,AT5G62430
56,AT5G39660
57,AT3G47500
58,AT2G34140
59,AT1G69570
60,AT3G19140
61,AT4G10180
62,AT1G01040
63,AT3G43920
64,AT5G20320
65,AT3G44110
66,AT4G22140
67,AT2G25930
68,AT2G40080
69,AT5G04240
70,AT1G79730
71,AT2G06210
72,AT1G77300
73,AT2G03500
74,AT4G15880
75,AT2G39810
76,AT1G08260
77,AT5G11530
78,AT5G51230
79,AT5G23150
80,AT4G16280
81,AT4G35900
82,AT2G17770
83,AT3G20740
84,AT2G21070
85,AT1G68050
86,AT2G30120
87,AT1G35460
88,AT4G09180
89,AT1G51140
90,AT2G42280
91,AT5G10140
92,AT3G10390
93,AT3G04610
94,AT1G77080
95,AT1G65480
96,AT5G24860
97,AT4G25530
98,AT5G61920
99,AT2G43410
100,AT4G00650
101,AT5G16320
102,AT1G31814
103,AT2G33835
104,AT5G60910
105,AT5G06850
106,AT2G19520
107,AT5G13480
108,AT3G05120
109,AT3G63010
110,AT5G27320
111,AT4G02780
112,AT1G79460
113,AT3G02885
114,AT1G14920
115,AT1G78440
116,AT1G30040
117,AT2G34555
118,AT1G47990
119,AT1G02400
120,AT1G50960
121,AT4G21200
122,AT4G25420
123,AT5G51810
124,AT5G07200
125,AT1G15550
126,AT1G80340
127,AT1G22770
128,AT5G63960
129,AT2G21660
130,AT2G20570
131,AT5G44190
132,AT4G29130
133,AT5G64610
134,AT5G09740
135,AT5G61060
136,AT5G63110
137,AT3G44680
138,AT3G54560
139,AT2G38810
140,AT1G52740
141,AT2G44950
142,AT1G55250
143,AT5G40490
144,AT4G32980
145,AT4G40060
146,AT5G45600
147,AT2G31650
148,AT2G48160
149,AT3G63070
150,AT3G49660
151,AT5G44160
152,AT3G26744
153,AT3G57300
154,AT4G20400
155,AT3G20810
156,AT3G45880
157,AT2G34880
158,AT1G01060
159,AT5G48890
160,AT5G61850
161,AT4G00830
162,AT1G12910
163,AT3G26640
164,AT2G46260
165,AT3G61600
166,AT2G18915
167,AT1G62830
168,AT3G13682
169,AT4G02560
170,AT3G46640
171,AT5G65050
172,AT5G65060
173,AT5G65070
174,AT5G65080
175,AT4G00450
176,AT1G55325
177,AT4G04920
178,AT2G22370
179,AT3G01460
180,AT2G25095
181,AT4G30972
182,AT4G31877
183,AT5G10945
184,AT5G11977
185,AT5G26147
186,AT2G19425
187,AT5G55835
188,AT2G28056
189,AT5G04275
190,AT3G11435
191,AT4G24680
192,AT4G37280
193,AT1G02740
194,AT5G58230
195,AT3G28910
196,AT5G18240
197,AT3G04030
198,AT5G64170
199,AT3G54500
200,AT4G03090
201,AT5G12840
202,AT2G34720
203,AT2G38880
204,AT5G47640
205,AT4G14540
206,AT1G54830
207,AT5G63470
208,AT1G08970
209,AT1G60220
210,AT1G10570
211,AT5G51820
212,AT4G24620
213,AT3G12810
214,AT1G09570
215,AT1G25540
216,AT2G18790
217,AT5G35840
218,AT4G16250
219,AT4G18130
220,AT2G43010
221,AT1G72390
222,AT3G59060
223,AT3G22590
224,AT2G28830
225,AT3G46510
226,AT1G80070
227,AT5G49020
228,AT5G60100
229,AT5G24470
230,AT5G02810
231,AT2G46790
232,AT1G32230
233,AT2G47700
234,AT3G18990
235,AT4G16845
236,AT3G48430
237,AT2G01570
238,AT5G23730
239,AT5G37260
240,AT1G66350
241,AT3G03450
242,AT5G17490
243,AT1G06040
244,AT1G75060
245,AT1G19330
246,AT3G54990
247,AT2G39250
248,AT5G59560
249,AT5G37055
250,AT1G76710
251,AT2G44150
252,AT4G31120
253,AT4G39100
254,AT2G22540
255,AT2G35510
256,AT2G46340
257,AT3G15354
258,AT1G53090
259,AT4G10710
260,AT3G57920
261,AT2G33810
262,AT1G53160
263,AT3G15270
264,AT2G42200
265,AT3G28730
266,AT2G23740
267,AT3G43190
268,AT5G06170
269,AT1G30970
270,AT2G45660
271,AT2G28550
272,AT5G60120
273,AT5G67180
274,AT1G25560
275,AT1G68840
276,AT5G17690
277,AT5G03840
278,AT3G22380
279,AT5G61380
280,AT1G15750
281,AT1G78580
282,AT1G05830
283,AT4G20370
284,AT1G14400
285,AT2G02760
286,AT5G06600
287,AT3G11910
288,AT3G49600
289,AT2G30140
290,AT4G28190
291,AT1G57820
292,AT1G66050
293,AT5G39550
294,AT1G28520
295,AT2G42400
296,AT4G29830
297,AT5G61150
298,AT1G61040
299,AT5G57380
300,AT3G24440
301,AT4G30200
302,AT2G18880
303,AT4G26440
304,AT4G11880
305,AT5G57360
