AT1G73220 OCT1 
AT1G79360 OCT2 
AT1G03410 2A6 
AT1G16390 OCT3 
AT1G47290 3BETAHSD/D1 
AT1G51680 4CL1 
AT1G65060 4CL3 
AT1G79410 OCT5 
AT1G47510 5PTASE11 
AT1G05630 5PTASE13 
AT1G20560 AAE1 
AT1G65890 AAE12 
AT1G30520 AAE14 
AT1G55320 AAE18 
AT1G58360 AAP1 
AT1G77380 AAP3 
AT1G44100 AAP5 
AT1G10010 AAP8 
AT1G13560 AAPT1 
AT1G52340 ABA2 
AT1G16540 ABA3 
AT1G67080 ABA4 
AT1G60600 ABC4 
AT1G31770 ABCG14 
AT1G71960 ABCG25 
AT1G49720 ABF1 
AT1G45249 ABF2 
AT1G66600 ABO3 
AT1G51965 ABO5 
AT1G13210 ACA.l 
AT1G27770 ACA1 
AT1G08065 ACA5 
AT1G08080 ACA7 
AT1G31812 ACBP6 
AT1G36160 ACC1 
AT1G36180 ACC2 
AT1G06460 ACD32.1 
AT1G08570 ACHT4 
AT1G10670 ACLA-1 
AT1G60810 ACLA-2 
AT1G09430 ACLA-3 
AT1G62380 ACO2 
AT1G62940 ACOS5 
AT1G54580 ACP2 
AT1G54630 ACP3 
AT1G76990 ACR3 
AT1G69040 ACR4 
AT1G12420 ACR8 
AT1G62960 ACS10 
AT1G01480 ACS2 
AT1G49240 ACT8 
AT1G06290 ACX3 
AT1G06310 ACX6 
AT1G16060 ADAP 
AT1G01750 ADF11 
AT1G77120 ADH1 
AT1G03930 ADK1 
AT1G10290 ADL6 
AT1G33560 ADR1 
AT1G06080 ADS1 
AT1G11790 ADT1 
AT1G08250 ADT6 
AT1G12820 AFB3 
AT1G31810 AFH14 
AT1G69260 AFP1 
AT1G13740 AFP2 
AT1G79250 AGC1.7 
AT1G60860 AGD2 
AT1G10870 AGD4 
AT1G47760 AGL102 
AT1G22130 AGL104 
AT1G71692 AGL12 
AT1G65360 AGL23 
AT1G01530 AGL28 
AT1G65300 AGL38 
AT1G60040 AGL49 
AT1G59810 AGL50 
AT1G60920 AGL55 
AT1G60880 AGL56 
AT1G28450 AGL58 
AT1G28460 AGL59 
AT1G29962 AGL64 
AT1G18750 AGL65 
AT1G77980 AGL66 
AT1G77950 AGL67 
AT1G54760 AGL85 
AT1G31630 AGL86 
AT1G22590 AGL87 
AT1G31640 AGL92 
AT1G69540 AGL94 
AT1G46408 AGL97 
AT1G48410 AGO1 
AT1G31280 AGO2 
AT1G31290 AGO3 
AT1G69440 AGO7 
AT1G68725 AGP19 
AT1G55330 AGP21 
AT1G28290 AGP31 
AT1G35230 AGP5 
AT1G17260 AHA10 
AT1G55870 AHG2 
AT1G13330 AHP2 
AT1G03430 AHP5 
AT1G33960 AIG1 
AT1G08780 AIP3 
AT1G31230 AK-HSDHI
AT1G14510 AL7 
AT1G59820 ALA3 
AT1G72330 ALAAT2 
AT1G50200 ALATS 
AT1G08520 ALB1 
AT1G24490 ALB4 
AT1G74920 ALDH10A8 
AT1G23800 ALDH2B7 
AT1G44170 ALDH3H1 
AT1G79440 ALDH5F1 
AT1G54100 ALDH7B4 
AT1G62340 ALE1 
AT1G02145 ALG12 
AT1G79450 ALIS5 
AT1G08430 ALMT1 
AT1G73680 ALPHA;DOX2
AT1G02170 MC1 
AT1G08980 AMI1 
AT1G65770 AMR1 
AT1G48790 AMSH1 
AT1G10600 AMSH2 
AT1G64780 AMT1;2 
AT1G76130 AMY2 
AT1G69830 AMY3 
AT1G01510 AN 
AT1G62700 ANAC026 
AT1G68090 ANN5 
AT1G35720 ANNAT1 
AT1G04580 AO4 
AT1G70580 AOAT2 
AT1G13280 AOC4 
AT1G32350 AOX1D 
AT1G69120 AP1 
AT1G11910 APA1 
AT1G78770 APC6 
AT1G07570 APK1A 
AT1G14370 APK2A 
AT1G79430 APL 
AT1G27680 APL2 
AT1G64810 APO1 
AT1G62180 APR2 
AT1G34780 APRL4 
AT1G68210 APRR6 
AT1G05610 APS2 
AT1G19920 APS2 
AT1G27450 APT1 
AT1G80050 APT2 
AT1G07890 APX1 
AT1G66680 AR401 
AT1G52080 AR791 
AT1G06400 ARA-2 
AT1G28670 ARAB-1 
AT1G75840 ARAC5 
AT1G75010 ARC3 
AT1G23490 ARF1 
AT1G59750 ARF1 
AT1G34310 ARF12 
AT1G34170 ARF13 
AT1G35540 ARF14 
AT1G35520 ARF15 
AT1G77850 ARF17 
AT1G19220 ARF19 
AT1G35240 ARF20 
AT1G34410 ARF21 
AT1G34390 ARF22 
AT1G43950 ARF23 
AT1G30330 ARF6 
AT1G70490 ARFA1D 
AT1G10630 ARFA1F 
AT1G02440 ARFD1A 
AT1G02430 ARFD1B 
AT1G68370 ARG1 
AT1G05880 ARI12 
AT1G05890 ARI5 
AT1G63760 ARI6 
AT1G65430 ARI8 
AT1G01950 ARK2 
AT1G12430 ARK3 
AT1G24120 ARL1 
AT1G59980 ARL2 
AT1G18450 ARP4 
AT1G73910 ARP4A 
AT1G60430 ARPC3 
AT1G67710 ARR11 
AT1G74890 ARR15 
AT1G59940 ARR3 
AT1G10470 ARR4 
AT1G19050 ARR7 
AT1G01020 ARV1 
AT1G65620 AS2 
AT1G25220 ASB1 
AT1G54060 ASIL1 
AT1G16530 ASL9 
AT1G62800 ASP4 
AT1G77990 AST56 
AT1G23090 AST91 
AT1G67370 ASY1 
AT1G31860 AT-IE 
AT1G01070 UMAMIT28 
AT1G01073 ASG4 
AT1G01080 TRM33 
AT1G01100 BSK4 
AT1G01115 PLIM2b 
AT1G01130 SBI1 
AT1G01150 LEA3 
AT1G01170 D27 
AT1G01180 NET1D 
AT1G01210 TRM82 
AT1G01225 FAF2 
AT1G01230 LSM2 
AT1G01240 NET3A 
AT1G01250 SCAMP4 
AT1G01260 GRXS13 
AT1G01270 ABCI19 
AT1G01300 TPR2 
AT1G01305 TPR3 
AT1G01310 c-NAD-MDH1 
AT1G01320 TPR4 
AT1G01350 HCAR 
AT1G01355 PFA-DSP1 
AT1G01390 KMS2 
AT1G01400 EMB3101 
AT1G01440 MEF3 
AT1G01448 RHON1 
AT1G01450 ADS4 
AT1G01453 PMD2 
AT1G01471 JASON 
AT1G01490 MUG3 
AT1G01500 Plsp2A 
AT1G01520 SLP1 
AT1G01540 DFO 
AT1G01570 SR45a 
AT1G01630 MAC5A 
AT1G01640 U1.5 
AT1G01660 TGA9 
AT1G01670 SDH6 
AT1G01695 UMAMIT25 
AT1G01710 Haspin 
AT1G01725 GXM3 
AT1G01730 NET2B 
AT1G01740 iPGAM1 
AT1G01760 PUR2 
AT1G01770 Pol{lambda} 
AT1G01780 PRIN2 
AT1G01800 PERK11 
AT1G01810 EMB3103 
AT1G01830 SNRK2.4 
AT1G01840 SCAMP2 
AT1G01870 MORF9 
AT1G01880 UMAMIT27 
AT1G01890 UMAMIT26 
AT1G01910 FMO 
AT1G01920 Hop1 
AT1G01930 SUMM2 
AT1G01940 HPR3 
AT1G01970 LPLAT1 
AT1G01990 RPF1 
AT1G02020 GT-1 
AT1G02030 FDM4 
AT1G02040 FAC19 
AT1G02060 PAP2 
AT1G02070 LSMT-L 
AT1G02074 UCP3 
AT1G02080 PER4 
AT1G02100 TTA1 
AT1G02110 GAT1_2.1 
AT1G02136 PSS1 
AT1G02150 SHH1 
AT1G02160 CYTOSLEEPER 
AT1G02180 GLYI4 
AT1G02190 NRB4 
AT1G02210 FDM1 
AT1G02228 ACR11 
AT1G02260 EBS3 
AT1G02270 STIPL1 
AT1G02290 HBP1 
AT1G02300 PEPC1 
AT1G02305 PGDH 
AT1G02320 EBS5 
AT1G02330 SLP2 
AT1G02350 TRM3 
AT1G02360 XXT4 
AT1G02370 RKD1 
AT1G02380 NRT1.9 
AT1G02391 DMS11 
AT1G02405 LSM1A 
AT1G02410 RRA3 
AT1G02420 VAB3 
AT1G02460 DPMS1 
AT1G02470 ASG5 
AT1G02475 IGMT1 
AT1G02480 IGMT3 
AT1G02490 IGMT2 
AT1G02540 IGMT4 
AT1G02550 LSM3A 
AT1G02570 SWEET1 
AT1G02575 SECA2 
AT1G02590 UMAMIT19 
AT1G02600 p24delta5 
AT1G02610 DREB26 
AT1G02620 TPPC 
AT1G02630 AUF2 
AT1G02650 ATL15 
AT1G02660 A/N-InvD 
AT1G02670 CRF7 
AT1G02681 HIPP22 
AT1G02700 MDP40 
AT1G02710 PGM3 
AT1G02740 AOR 
AT1G02750 TNO1 
AT1G02760 LpxC1 
AT1G02770 LpxC2 
AT1G02810 LpxC3 
AT1G02813 LpxC4 
AT1G02816 LpxC5 
AT1G02820 UMAMIT24 
AT1G02830 CES 
AT1G02870 BBX15 
AT1G02890 CRF12 
AT1G02952 Cpn60beta4 
AT1G02960 ATHB54 
AT1G02965 LCR 
AT1G02990 KLCR3 
AT1G03010 EX2 
AT1G03020 BBX13 
AT1G03022 SAUR63 
AT1G03030 RWA4 
AT1G03040 nMAT1 
AT1G03050 eEF-1Bb1 
AT1G03055 DLAH 
AT1G03070 G3Pp3 
AT1G03080 JMJ18 
AT1G03100 TRM9 
AT1G03103 PUT1 
AT1G03106 PUT2 
AT1G03110 SCAMP5 
AT1G03140 LrgB 
AT1G03150 GulLO1 
AT1G03170 SAMBA 
AT1G03180 FdC2 
AT1G03200 AtLEA4-1 
AT1G03210 GBSS1 
AT1G03220 TPR9 
AT1G03230 GXMT1 
AT1G03240 FBH1 
AT1G03250 RanBPM 
AT1G03260 FANCM 
AT1G03270 RPL21C 
AT1G03280 TPPD 
AT1G03290 UMAMIT22 
AT1G03320 FBP 
AT1G03330 FTM1 
AT1G03340 SIAR1 
AT1G03350 BGLU1 
AT1G03365 DYW1 
AT1G03370 SERPIN1 
AT1G03390 DPMS3 
AT1G03400 DGAT3 
AT1G03440 DHNAT1 
AT1G03457 EMB3105 
AT1G03470 CRF9 
AT1G03495 BBX17 
AT1G03502 PERK7 
AT1G03506 Erv1 
AT1G03510 QWRF2 
AT1G03515 BCAT7 
AT1G03520 FYPP1 
AT1G03540 PRK5 
AT1G03545 AUG4 
AT1G03550 GDC1 
