gene_symbol,37D-2H-25C-A,37D-2H-25C-B,40D-5H-25C-A,40D-5H-25C-B,44D-9H-25C-A,44D-9H-25C-B
AT2G42250,-0.14791210865544538,-0.21920977656483617,-0.06496665837874151,-0.09137191891459565,-0.18943476210026916,-0.12689637963005637
AT2G42280,-0.06363497101893996,-0.11079305583200427,-0.18553360512585482,-0.20763894799989982,-0.21315691365220543,-0.24355764867609184
AT2G42150,0.0796361629631192,-0.049489360339094124,0.10088364864897774,-0.020965773524050296,0.07663801882009687,0.12927733487309356
AT2G42160,-0.005202822257629567,0.1707498419872869,0.020505684150902214,0.04814851598776938,0.025346880329423897,0.1659594864803522
AT2G42180,-0.2911832426375045,-0.2725666967160728,-0.3010061738414,-0.31034149035858516,-0.21956830596353955,-0.29948289620846963
AT2G42100,-0.24174065522408805,-0.2788105916273877,-0.18779777313988513,-0.30969556241922236,-0.19328159748706963,-0.2856519210122902
AT2G32890,-0.147350261071202,-0.2402119685392591,-0.09100459054008993,-0.22314121854460703,-0.30868665909108384,-0.19424721536797374
AT2G32880;AT2G32870,-0.24735913106652174,-0.224318417855912,-0.2800626197116197,-0.29096365217770115,-0.2715005836853459,-0.2688142120778108
AT2G32860,-0.17038601202518014,-0.2805134720577463,-0.13062753078562012,-0.25220797581593307,-0.32407400063828573,-0.2543818901339714
AT2G32830,-0.2659001013465529,-0.25780839965296476,-0.2879872077607257,-0.2212034347265186,-0.23816134366640845,-0.29888154946080964
AT2G33030,-0.2956780233114515,-0.27994584524762683,-0.3004401318378924,-0.25220797581593307,-0.31061007678448405,-0.31090848441400915
AT2G33000,-0.17319524994639698,-0.1709614977046754,-0.09609896857165809,-0.21861972296906743,-0.2586777990626777,-0.19424721536797374
AT2G33020,-0.21027719050645935,-0.2623494141339211,-0.24610009950116526,-0.12560609970082406,-0.12724425668032818,-0.1317071536113362
AT2G33010,-0.2703948820204999,-0.26632280180475787,-0.2840249137361728,-0.28127473308725914,-0.19264045825593623,-0.2682128653301508
AT2G32970,0.25212337132583357,0.5766030112227569,0.29050771982401513,0.9382372164297091,0.710083579179908,0.7089755996173108
AT2G26650,0.10267191391709732,0.042466182900271154,0.035788818245606695,-0.03775989994748313,-0.028508815085782714,-0.10163981622833737
AT2G26690,1.699442748336753,1.3446020853144927,2.7250543769100917,1.227612933264244,1.5365120481108765,1.167201821334213
AT2G26700,-0.14060809006028158,0.06744176254553085,-0.0870422965155369,-0.06295108958263236,-0.19520501518046987,-0.08359941379853808
AT2G26720,-0.293430632974478,-0.28108109886786586,-0.2998740898343848,-0.31098741829794796,-0.32215058294488547,-0.3042936701897494
AT2G39640,-0.061387580681966494,-0.18969318243862013,-0.1244010687470368,-0.16888327163813174,-0.2900936213882148,-0.11968021865813668
267621_at,-0.20465871466402566,-0.14541829124929614,-0.09043854853658234,0.07140192180483022,-0.15288982592566466,-0.14132870157389582
AT2G39690,-0.17094785960942352,-0.17039387089455582,-0.17817505908025635,-0.29806885951069195,-0.2080277998031381,-0.27542902630207056
AT2G39650,-0.04453215315466542,0.023734498166326355,-0.02307955011918102,-0.004817575039980272,-0.15160754746339783,0.0835749820509354
AT2G30730,-0.28781215713204433,-0.28108109886786586,-0.26421344361340765,-0.31098741829794796,-0.3176626083269516,-0.2742263328067506
AT2G30750,-0.28781215713204433,-0.17777301942610985,-0.29477971180281665,-0.30904963447985956,-0.3176626083269516,-0.31331387140464906
AT2G30760,-0.27826074819990704,-0.25780839965296476,-0.2845909557396803,-0.2496242640584819,-0.3041986844731499,-0.2585913173675912
