gene_symbol,37D-2H-25C-A,37D-2H-25C-B,40D-5H-25C-A,40D-5H-25C-B,44D-9H-25C-A,44D-9H-25C-B
AT2G42240,92.9,127.4,92.7,102.4,102.5,112.5
AT2G42250,26.7,12.0,42.5,35.3,21.9,31.7
AT2G42270,91.0,94.6,98.6,76.5,81.6,86.3
AT2G42280,41.7,31.1,21.2,17.3,18.2,12.3
AT2G42120,228.7,213.9,248.7,275.3,233.3,246.8
AT2G42130,304.2,263.0,255.9,233.2,255.7,262.7
AT2G42150,67.2,41.9,71.8,46.2,63.4,74.3
AT2G42160,52.1,80.7,57.6,56.9,55.4,80.4
AT2G42180,1.2,2.6,0.8,1.4,17.2,3.0
AT2G42100,10.0,1.5,20.8,1.5,21.3,5.3
AT2G42220,740.5,757.3,581.2,662.0,732.8,800.6
AT2G42110,96.7,117.8,79.1,102.3,104.9,116.8
AT2G42190,178.7,179.0,143.2,152.2,137.8,166.8
AT2G42210,2913.2,2294.4,2580.2,2314.7,2559.5,2477.0
AT2G42200,590.9,604.4,581.7,741.4,853.9,770.4
AT2G32950,427.0,337.8,365.2,319.7,376.9,277.7
267641_at,93.0,81.9,88.6,74.9,84.5,88.2
AT2G32910,251.4,230.0,281.3,284.6,247.4,279.8
AT2G32890,26.8,8.3,37.9,14.9,3.3,20.5
AT2G32880;AT2G32870,9.0,11.1,4.5,4.4,9.1,8.1
AT2G32860,22.7,1.2,30.9,10.4,0.9,10.5
AT2G32830,5.7,5.2,3.1,15.2,14.3,3.1
AT2G33030,0.4,1.3,0.9,10.4,3.0,1.1
AT2G33000,22.2,20.5,37.0,15.6,11.1,20.5
AT2G32990,101.0,112.8,133.2,104.3,135.5,107.5
AT2G33060;AT2G33050,317.2,349.5,340.6,343.3,259.7,347.2
AT2G33020,15.6,4.4,10.5,30.0,31.6,30.9
AT2G33010,4.9,3.7,3.8,5.9,21.4,8.2
AT2G32850,185.4,151.4,187.6,142.2,176.0,229.2
AT2G33040,2106.4,2437.6,2116.1,2451.6,1974.5,2292.9
AT2G32980,291.5,298.3,365.3,359.5,315.4,319.2
AT2G32970,97.9,152.2,105.3,194.7,162.2,170.7
AT2G32900,175.6,209.6,157.8,181.2,195.0,169.0
AT2G32930,78.9,48.0,58.6,66.5,59.9,50.2
AT2G32920,725.0,776.2,692.1,790.1,792.6,692.1
AT2G26640,252.4,231.7,248.2,219.2,188.1,224.7
AT2G26740;AT2G26750,348.3,603.8,414.9,463.6,498.9,562.1
AT2G26770,447.6,417.0,488.3,434.3,449.5,460.2
AT2G26780,268.5,249.5,299.2,240.0,242.7,231.8
AT2G26650,71.3,58.1,60.3,43.6,47.0,35.9
AT2G26660,349.2,252.5,250.2,255.8,359.5,246.6
AT2G26690,355.5,287.5,535.4,239.5,291.1,246.9
AT2G26700,28.0,62.5,38.6,39.7,21.0,38.9
AT2G26710,83.9,84.2,90.2,86.2,67.7,62.8
AT2G26720,0.8,1.1,1.0,1.3,1.2,2.2
AT2G26680,136.4,160.1,158.2,155.7,145.5,147.3
AT2G26670,254.5,310.3,251.9,256.6,237.4,290.4
AT2G26760,270.3,282.3,227.8,255.0,251.2,239.6
AT2G26730,502.2,463.6,449.9,519.9,420.7,408.5
AT2G39640,42.1,17.2,32.0,23.3,6.2,32.9
267621_at,16.6,25.0,38.0,60.5,27.6,29.3
AT2G39690,22.6,20.6,22.5,3.3,19.0,7.0
AT2G39650,45.1,54.8,49.9,48.7,27.8,66.7
AT2G39660,175.0,170.0,176.7,215.1,161.8,138.1
AT2G39700,821.4,834.3,1207.4,907.2,902.7,1023.0
AT2G39705,306.1,412.1,334.7,368.1,358.4,397.7
AT2G39710,41.0,41.7,31.4,33.1,38.3,35.2
AT2G39670,303.8,307.2,288.3,322.6,296.3,264.2
AT2G30730,1.8,1.1,7.3,1.3,1.9,7.2
AT2G30740,52.4,71.1,69.2,81.8,53.2,60.4
AT2G30750,1.8,19.3,1.9,1.6,1.9,0.7
AT2G30760,3.5,5.2,3.7,10.8,4.0,9.8
AT2G30770,12.5,19.0,1.8,3.5,2.3,2.0
AT2G30780,78.5,46.7,30.9,56.1,24.5,57.1
AT2G30790,58.3,42.2,64.9,69.4,54.4,61.4
AT2G30800,162.9,105.9,129.6,130.7,114.6,111.1
AT2G30650,9.4,1.8,1.3,13.4,39.3,8.4
