gene_symbol,35D-0H-16C-A,35D-0H-16C-B,35D-2H-16C-A,37D-2H-16C-B,40D-5H-16C-A,40D-5H-16C-B,44D-9H-16C-A,44D-9H-16C-B
AT2G42240,110.0,95.2,91.1,133.4,97.2,121.3,85.2,125.7
AT2G42250,28.5,27.2,34.2,29.3,28.4,30.5,18.5,24.6
AT2G42270,87.8,89.8,72.2,83.4,86.0,85.2,108.0,66.4
AT2G42280,42.5,35.0,21.2,30.5,17.1,14.4,19.8,1.2
AT2G42120,262.4,282.2,248.7,266.0,209.7,235.3,204.1,289.5
AT2G42130,309.2,274.6,241.8,275.9,199.0,233.3,296.0,195.7
AT2G42150,102.6,74.9,116.2,90.5,95.2,68.4,71.9,70.1
AT2G42160,38.6,67.1,65.1,80.4,56.8,72.2,58.6,78.2
AT2G42180,4.2,2.2,2.3,5.9,2.3,2.3,14.5,1.2
AT2G42100,8.3,8.4,6.9,2.4,1.9,3.2,1.8,0.8
AT2G42220,740.8,774.2,664.8,732.9,636.0,795.2,708.4,746.1
AT2G42110,160.8,159.7,186.7,185.8,170.5,171.0,179.0,174.0
AT2G42190,198.6,203.8,179.6,233.3,232.2,238.4,261.3,276.3
AT2G42210,2761.9,2341.3,2618.3,2130.1,2568.0,2538.6,2688.9,2334.4
AT2G42200,483.2,449.1,411.2,369.7,580.2,492.2,541.9,638.2
AT2G32950,327.3,278.8,385.0,260.4,380.1,273.0,356.7,269.9
267641_at,70.7,82.1,86.6,63.4,82.8,76.4,79.8,92.7
AT2G32910,264.5,262.8,264.4,268.0,196.9,253.0,252.8,233.6
AT2G32890,10.4,13.3,21.1,14.9,7.0,17.1,2.5,9.6
AT2G32880;AT2G32870,4.7,0.7,12.5,0.6,1.0,0.8,0.7,1.1
AT2G32860,9.7,15.1,17.0,15.5,5.4,19.0,10.4,1.1
AT2G32830,3.9,16.9,19.0,11.6,12.9,26.0,5.3,12.1
AT2G33030,1.6,4.9,4.6,0.8,5.6,12.9,0.7,8.3
AT2G33000,16.6,32.7,11.8,32.0,16.5,26.7,23.1,19.1
AT2G32990,103.3,90.7,126.2,106.9,107.3,92.5,100.6,93.8
AT2G33060;AT2G33050,226.3,188.3,231.2,246.1,206.6,233.4,225.5,215.0
AT2G33020,11.9,3.7,20.9,26.7,15.3,5.9,15.7,12.3
AT2G33010,6.6,1.6,4.7,2.8,2.8,2.1,6.8,1.8
AT2G32850,173.9,163.6,233.3,175.4,172.2,137.5,148.5,171.3
AT2G33040,2309.2,2130.5,2265.3,2421.0,2319.2,2820.0,2325.9,2745.9
AT2G32980,415.7,367.8,295.4,369.3,326.3,337.4,339.3,366.3
AT2G32970,133.9,118.1,121.6,124.7,148.1,141.5,100.5,119.5
AT2G32900,169.7,143.5,178.1,152.5,196.3,184.4,206.4,169.2
AT2G32930,39.1,52.4,77.2,31.4,35.3,59.0,45.7,39.2
AT2G32920,645.8,737.8,704.6,763.6,744.4,772.0,660.6,816.9
AT2G26640,198.0,215.7,174.0,173.9,194.6,208.3,152.1,186.9
AT2G26740;AT2G26750,131.4,126.3,382.4,495.2,1001.1,892.4,901.5,1283.5
AT2G26770,478.7,465.2,472.0,449.8,432.7,447.7,491.6,471.3
AT2G26780,328.1,349.8,326.2,350.5,341.3,319.0,358.5,319.3
AT2G26650,55.8,56.4,74.9,66.6,47.4,49.4,34.5,48.7
AT2G26660,354.0,295.0,346.0,253.5,296.1,306.1,332.2,312.4
AT2G26690,281.2,231.5,451.6,424.5,591.2,425.1,356.1,329.9
AT2G26700,25.9,70.8,36.9,51.9,40.8,64.6,37.1,49.3
AT2G26710,52.8,66.9,62.8,41.2,70.5,47.0,70.0,76.6
AT2G26720,1.1,0.6,1.3,0.7,0.6,3.0,0.6,0.8
AT2G26680,158.9,159.9,165.9,163.0,176.3,127.5,173.1,157.5
AT2G26670,198.6,321.4,259.0,341.8,269.3,338.1,219.4,293.7
AT2G26760,405.0,456.4,413.4,490.3,360.8,416.2,388.1,408.2
