Scan REF;H_CHIP_263_A;H_CHIP_263_B;H_CHIP_264_A;H_CHIP_264_B;H_CHIP_265_A;H_CHIP_265_B;H_CHIP_266_A;H_CHIP_266_B;H_CHIP_267_A;H_CHIP_267_B;H_CHIP_268_A;H_CHIP_268_B;H_CHIP_269_A;H_CHIP_269_B
Experimental Conditions;35D-0H-16C;35D-0H-16C;35D-2H-16C;37D-2H-16C;40D-5H-16C;40D-5H-16C;44D-9H-16C;44D-9H-16C;37D-2H-25C;37D-2H-25C;40D-5H-25C;40D-5H-25C;44D-9H-25C;44D-9H-25C
267625_at;110;95.2;91.1;133.4;97.2;121.3;85.2;125.7;92.9;127.4;92.7;102.4;102.5;112.5
267626_at;28.5;27.2;34.2;29.3;28.4;30.5;18.5;24.6;26.7;12;42.5;35.3;21.9;31.7
267627_at;87.8;89.8;72.2;83.4;86;85.2;108;66.4;91;94.6;98.6;76.5;81.6;86.3
267628_at;42.5;35;21.2;30.5;17.1;14.4;19.8;1.2;41.7;31.1;21.2;17.3;18.2;12.3
267629_at;262.4;282.2;248.7;266;209.7;235.3;204.1;289.5;228.7;213.9;248.7;275.3;233.3;246.8
267630_at;309.2;274.6;241.8;275.9;199;233.3;296;195.7;304.2;263;255.9;233.2;255.7;262.7
267631_at;102.6;74.9;116.2;90.5;95.2;68.4;71.9;70.1;67.2;41.9;71.8;46.2;63.4;74.3
267632_at;38.6;67.1;65.1;80.4;56.8;72.2;58.6;78.2;52.1;80.7;57.6;56.9;55.4;80.4
267633_at;4.2;2.2;2.3;5.9;2.3;2.3;14.5;1.2;1.2;2.6;0.8;1.4;17.2;3
267634_at;8.3;8.4;6.9;2.4;1.9;3.2;1.8;0.8;10;1.5;20.8;1.5;21.3;5.3
267635_at;740.8;774.2;664.8;732.9;636;795.2;708.4;746.1;740.5;757.3;581.2;662;732.8;800.6
267636_at;160.8;159.7;186.7;185.8;170.5;171;179;174;96.7;117.8;79.1;102.3;104.9;116.8
267637_at;198.6;203.8;179.6;233.3;232.2;238.4;261.3;276.3;178.7;179;143.2;152.2;137.8;166.8
267638_at;2761.9;2341.3;2618.3;2130.1;2568;2538.6;2688.9;2334.4;2913.2;2294.4;2580.2;2314.7;2559.5;2477
267639_at;483.2;449.1;411.2;369.7;580.2;492.2;541.9;638.2;590.9;604.4;581.7;741.4;853.9;770.4
267640_at;327.3;278.8;385;260.4;380.1;273;356.7;269.9;427;337.8;365.2;319.7;376.9;277.7
267641_at;70.7;82.1;86.6;63.4;82.8;76.4;79.8;92.7;93;81.9;88.6;74.9;84.5;88.2
267642_at;264.5;262.8;264.4;268;196.9;253;252.8;233.6;251.4;230;281.3;284.6;247.4;279.8
267643_at;10.4;13.3;21.1;14.9;7;17.1;2.5;9.6;26.8;8.3;37.9;14.9;3.3;20.5
267644_s_at;4.7;0.7;12.5;0.6;1;0.8;0.7;1.1;9;11.1;4.5;4.4;9.1;8.1
267645_at;9.7;15.1;17;15.5;5.4;19;10.4;1.1;22.7;1.2;30.9;10.4;0.9;10.5
267646_at;3.9;16.9;19;11.6;12.9;26;5.3;12.1;5.7;5.2;3.1;15.2;14.3;3.1
267593_at;1.6;4.9;4.6;0.8;5.6;12.9;0.7;8.3;0.4;1.3;0.9;10.4;3;1.1
267594_at;16.6;32.7;11.8;32;16.5;26.7;23.1;19.1;22.2;20.5;37;15.6;11.1;20.5
267595_at;103.3;90.7;126.2;106.9;107.3;92.5;100.6;93.8;101;112.8;133.2;104.3;135.5;107.5
267596_s_at;226.3;188.3;231.2;246.1;206.6;233.4;225.5;215;317.2;349.5;340.6;343.3;259.7;347.2
267597_at;11.9;3.7;20.9;26.7;15.3;5.9;15.7;12.3;15.6;4.4;10.5;30;31.6;30.9
267598_at;6.6;1.6;4.7;2.8;2.8;2.1;6.8;1.8;4.9;3.7;3.8;5.9;21.4;8.2
267599_at;173.9;163.6;233.3;175.4;172.2;137.5;148.5;171.3;185.4;151.4;187.6;142.2;176;229.2
267600_at;2309.2;2130.5;2265.3;2421;2319.2;2820;2325.9;2745.9;2106.4;2437.6;2116.1;2451.6;1974.5;2292.9
267601_at;415.7;367.8;295.4;369.3;326.3;337.4;339.3;366.3;291.5;298.3;365.3;359.5;315.4;319.2
267602_at;133.9;118.1;121.6;124.7;148.1;141.5;100.5;119.5;97.9;152.2;105.3;194.7;162.2;170.7
267603_at;169.7;143.5;178.1;152.5;196.3;184.4;206.4;169.2;175.6;209.6;157.8;181.2;195;169
267604_at;39.1;52.4;77.2;31.4;35.3;59;45.7;39.2;78.9;48;58.6;66.5;59.9;50.2
267605_at;645.8;737.8;704.6;763.6;744.4;772;660.6;816.9;725;776.2;692.1;790.1;792.6;692.1
